HouseID,Title,Location,Price,Gross_Area,Topology
ID1b7g4.html#f8c86f27e1,Apartamento T5 (T4+1) | Telheiras Centro,"Rua Professor Francisco Gentil , Lumiar",800000,237,T5
ID187Q4.html#f8c86f27e1,"Penthouse T4 com terraço, piscina e vista, junto ao Cais ...",Misericórdia,3600000,238,T4
ID19Yvv.html#f8c86f27e1,Apartamento T2 com terraço e vista rio no Chiado,Misericórdia,1475000,238,T2
ID18mmS.html#f8c86f27e1,T4 Duplex no Condominio Privado Pateo da Cordoaria,Alcântara,1785000,216,T4
ID17c5H.html#f8c86f27e1,"Apartamento T2, com 2 suites e 1 lugar de garagem",Belém,1050000,139.01,T2
ID188uf.html#f8c86f27e1,"Apartamento T4 Corner, no Martinhal Residences!",Parque das Nações,3000000,276.3,T4
ID1axMR.html#f8c86f27e1,T2 com Terraço no Chiado,Misericórdia,995000,141.08,T2
ID188uD.html#f8c86f27e1,Penthouse T3 no Martinhal Residences!,Parque das Nações,1900000,166.43,T3
ID1aUFy.html#f8c86f27e1,Apartamento T3 com piscina e estacionamento na Junqueira,Belém,1900000,246.6,T3
ID1aLHu.html#f8c86f27e1,Penthouse T3 duplex com terraço e piscina na Praça de Esp...,Avenidas Novas,1995000,138,T3
ID18mmH.html#f8c86f27e1,T3 Duplex no Condominio Privado Pateo da Cordoaria,Alcântara,1470000,179,T3
ID17c5G.html#f8c86f27e1,"Apartamento T3, com 3 suites e 1 lugar de garagem",Belém,1200000,153.34,T3
ID15vzt.html#20f6406c72,Apartamento T3 duplex com varanda e garagem na Tapada da ...,Alcântara,1075000,149,T3
ID17c5A.html#20f6406c72,"Apartamento T1, com pátio privativo em Belém",Belém,560000,75.59,T1
ID1aLGA.html#20f6406c72,Apartamento T4 com varanda e estacionamento na Praça de E...,Avenidas Novas,1594000,172,T4
ID1aUFC.html#20f6406c72,Apartamento T2 com terraço e estacionamento na Junqueira,Belém,940000,111.4,T2
ID15JYl.html#20f6406c72,"Apartamento T2 com estacionamento e varanda, Praça de Esp...",Avenidas Novas,641000,75,T2
